name,class,category,input_shape,output_shape,direct_params,direct_trainable_params,approx_macs,details
backbone.stages.1.op_list.0.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 128, 28, 28]]","[1, 64, 28, 28]",8192,8192,6422528,"in=128, out=64, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.0.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",128,128,,
backbone.stages.1.op_list.0.main,MBConv,MBConv block,"[[1, 32, 56, 56]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.0,ResidualBlock,Residual block,"[[1, 32, 56, 56]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.1.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 64, 28, 28]]","[1, 256, 28, 28]",16384,16384,12845056,"in=64, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.1.main.inverted_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",512,512,,
backbone.stages.1.op_list.1.main.inverted_conv.act,Hardswish,Activation,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",0,0,,
backbone.stages.1.op_list.1.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",2304,2304,1806336,"in=256, out=256, k=(3, 3), stride=(1, 1), groups=256, bias=False"
backbone.stages.1.op_list.1.main.depth_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",512,512,,
backbone.stages.1.op_list.1.main.depth_conv.act,Hardswish,Activation,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",0,0,,
backbone.stages.1.op_list.1.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 28, 28]]","[1, 64, 28, 28]",16384,16384,12845056,"in=256, out=64, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.1.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",128,128,,
