name,class,category,input_shape,output_shape,direct_params,direct_trainable_params,approx_macs,details
backbone.stages.3.op_list.2.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.2.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 7, 7]]","[1, 256, 7, 7]",131072,131072,6422528,"in=512, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.2.context_module.main.proj.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.2.context_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.2.context_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.2.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 1024, 7, 7]",263168,263168,12845056,"in=256, out=1024, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.3.op_list.2.local_module.main.inverted_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.2.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",10240,10240,451584,"in=1024, out=1024, k=(3, 3), stride=(1, 1), groups=1024, bias=True"
backbone.stages.3.op_list.2.local_module.main.depth_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.2.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 1024, 7, 7]]","[1, 256, 7, 7]",262144,262144,12845056,"in=1024, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.2.local_module.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.2.local_module.main,MBConv,MBConv block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.2.local_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.2.local_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.3.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 768, 7, 7]",196608,196608,9633792,"in=256, out=768, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.3.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",19200,19200,940800,"in=768, out=768, k=(5, 5), stride=(1, 1), groups=768, bias=False"
backbone.stages.3.op_list.3.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",12288,12288,602112,"in=768, out=768, k=(1, 1), stride=(1, 1), groups=48, bias=False"
backbone.stages.3.op_list.3.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.3.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.3.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 7, 7]]","[1, 256, 7, 7]",131072,131072,6422528,"in=512, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.3.context_module.main.proj.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.3.context_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.3.context_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.3.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 1024, 7, 7]",263168,263168,12845056,"in=256, out=1024, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.3.op_list.3.local_module.main.inverted_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.3.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",10240,10240,451584,"in=1024, out=1024, k=(3, 3), stride=(1, 1), groups=1024, bias=True"
backbone.stages.3.op_list.3.local_module.main.depth_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.3.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 1024, 7, 7]]","[1, 256, 7, 7]",262144,262144,12845056,"in=1024, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.3.local_module.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.3.local_module.main,MBConv,MBConv block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.3.local_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.3.local_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.4.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 768, 7, 7]",196608,196608,9633792,"in=256, out=768, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.4.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",19200,19200,940800,"in=768, out=768, k=(5, 5), stride=(1, 1), groups=768, bias=False"
backbone.stages.3.op_list.4.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,"[[1, 768, 7, 7]]","[1, 768, 7, 7]",12288,12288,602112,"in=768, out=768, k=(1, 1), stride=(1, 1), groups=48, bias=False"
backbone.stages.3.op_list.4.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.4.context_module.main.kernel_func,ReLU,Activation,"[[1, 32, 16, 49]]","[1, 32, 16, 49]",0,0,,
backbone.stages.3.op_list.4.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,"[[1, 512, 7, 7]]","[1, 256, 7, 7]",131072,131072,6422528,"in=512, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.4.context_module.main.proj.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.4.context_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.4.context_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.4.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 1024, 7, 7]",263168,263168,12845056,"in=256, out=1024, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.3.op_list.4.local_module.main.inverted_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.4.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",10240,10240,451584,"in=1024, out=1024, k=(3, 3), stride=(1, 1), groups=1024, bias=True"
backbone.stages.3.op_list.4.local_module.main.depth_conv.act,Hardswish,Activation,"[[1, 1024, 7, 7]]","[1, 1024, 7, 7]",0,0,,
backbone.stages.3.op_list.4.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 1024, 7, 7]]","[1, 256, 7, 7]",262144,262144,12845056,"in=1024, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.3.op_list.4.local_module.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",512,512,,
backbone.stages.3.op_list.4.local_module.main,MBConv,MBConv block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.4.local_module.shortcut,IdentityLayer,IdentityLayer,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
backbone.stages.3.op_list.4.local_module,ResidualBlock,Residual block,"[[1, 256, 7, 7]]","[1, 256, 7, 7]",0,0,,
head.op_list.0.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 7, 7]]","[1, 1536, 7, 7]",393216,393216,19267584,"in=256, out=1536, k=(1, 1), stride=(1, 1), groups=1, bias=False"
head.op_list.0.norm,BatchNorm2d,Normalization,"[[1, 1536, 7, 7]]","[1, 1536, 7, 7]",3072,3072,,
head.op_list.0.act,Hardswish,Activation,"[[1, 1536, 7, 7]]","[1, 1536, 7, 7]",0,0,,
head.op_list.1,AdaptiveAvgPool2d,Pooling,"[[1, 1536, 7, 7]]","[1, 1536, 1, 1]",0,0,,
head.op_list.2.linear,Linear,Linear,"[[1, 1536]]","[1, 1600]",2457600,2457600,2457600,"in=1536, out=1600, bias=False"
head.op_list.2.norm,LayerNorm,Normalization,"[[1, 1600]]","[1, 1600]",3200,3200,,
head.op_list.2.act,Hardswish,Activation,"[[1, 1600]]","[1, 1600]",0,0,,
head.op_list.3.linear,Linear,Linear,"[[1, 1600]]","[1, 1000]",1601000,1601000,1600000,"in=1600, out=1000, bias=True"
