module,role,elements,zeros,blocks,zero_blocks,block_tail_elements,channels,zero_channels,positions,zero_positions,zero_percent,zero_block_percent
backbone.input_stem.op_list.0.conv,input,301056,0,18816,0,0,6,0,100352,0,0.0,0.0
backbone.input_stem.op_list.0.conv,output,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.0.norm,input,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.0.norm,output,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.0.act,input,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.0.act,output,401408,2841,25088,14,0,32,0,25088,0,0.7077586894132653,0.05580357142857143
backbone.input_stem.op_list.1.main.depth_conv.conv,input,401408,2841,25088,14,0,32,0,25088,0,0.7077586894132653,0.05580357142857143
backbone.input_stem.op_list.1.main.depth_conv.conv,output,401408,934,25088,0,0,32,0,25088,0,0.23268096301020408,0.0
backbone.input_stem.op_list.1.main.depth_conv.norm,input,401408,934,25088,0,0,32,0,25088,0,0.23268096301020408,0.0
backbone.input_stem.op_list.1.main.depth_conv.norm,output,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.1.main.depth_conv.act,input,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.1.main.depth_conv.act,output,401408,11235,25088,184,0,32,0,25088,0,2.7988978794642856,0.7334183673469388
backbone.input_stem.op_list.1.main.point_conv.conv,input,401408,11235,25088,184,0,32,0,25088,0,2.7988978794642856,0.7334183673469388
backbone.input_stem.op_list.1.main.point_conv.conv,output,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.1.main.point_conv.norm,input,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.1.main.point_conv.norm,output,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.input_stem.op_list.1.shortcut,input,401408,2841,25088,14,0,32,0,25088,0,0.7077586894132653,0.05580357142857143
backbone.input_stem.op_list.1.shortcut,output,401408,2841,25088,14,0,32,0,25088,0,0.7077586894132653,0.05580357142857143
backbone.input_stem.op_list.1,input,401408,2841,25088,14,0,32,0,25088,0,0.7077586894132653,0.05580357142857143
backbone.input_stem.op_list.1,output,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.conv,input,401408,0,25088,0,0,32,0,25088,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.conv,output,1605632,0,100352,0,0,128,0,25088,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.norm,input,1605632,0,100352,0,0,128,0,25088,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.norm,output,1605632,0,100352,0,0,128,0,25088,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.act,input,1605632,0,100352,0,0,128,0,25088,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.act,output,1605632,63747,100352,66,0,128,0,25088,0,3.9702123525191326,0.06576849489795919
backbone.stages.0.op_list.0.main.depth_conv.conv,input,1605632,63747,100352,66,0,128,0,25088,0,3.9702123525191326,0.06576849489795919
backbone.stages.0.op_list.0.main.depth_conv.conv,output,401408,844,25088,0,0,128,0,6272,0,0.21025988520408162,0.0
backbone.stages.0.op_list.0.main.depth_conv.norm,input,401408,844,25088,0,0,128,0,6272,0,0.21025988520408162,0.0
backbone.stages.0.op_list.0.main.depth_conv.norm,output,401408,0,25088,0,0,128,0,6272,0,0.0,0.0
backbone.stages.0.op_list.0.main.depth_conv.act,input,401408,0,25088,0,0,128,0,6272,0,0.0,0.0
backbone.stages.0.op_list.0.main.depth_conv.act,output,401408,14335,25088,37,0,128,0,6272,0,3.571179448341837,0.14748086734693877
