module,operation,macs,left_zero_macs,right_zero_macs,both_zero_macs,skippable_macs,nonzero_product_macs,padding_macs,skippable_percent,skippable_excluding_padding
backbone.stages.3.op_list.1.context_module.main.aggreg.0.1,conv,1204224,0,0,0,0,1204224,0,0.0,0
backbone.stages.3.op_list.1.context_module.main,Vpad_Kt,852992,0,463403,0,463403,389589,0,54.32676977040816,463403
backbone.stages.3.op_list.1.context_module.main,VK_Q,852992,31654,437019,21284,447389,405603,0,52.44937818877551,447389
backbone.stages.3.op_list.1.context_module.main.proj.conv,conv,12845056,0,0,0,0,12845056,0,0.0,0
backbone.stages.3.op_list.1.local_module.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.3.op_list.1.local_module.main.depth_conv.conv,conv,903168,0,252284,0,252284,650884,163840,27.933230583900226,88444
backbone.stages.3.op_list.1.local_module.main.point_conv.conv,conv,25690112,0,1792,0,1792,25688320,0,0.006975446428571429,1792
backbone.stages.3.op_list.2.context_module.main.qkv.conv,conv,19267584,0,0,0,0,19267584,0,0.0,0
backbone.stages.3.op_list.2.context_module.main.aggreg.0.0,conv,1881600,0,589824,0,589824,1291776,589824,31.346938775510203,0
backbone.stages.3.op_list.2.context_module.main.aggreg.0.1,conv,1204224,0,0,0,0,1204224,0,0.0,0
backbone.stages.3.op_list.2.context_module.main,Vpad_Kt,852992,0,517344,0,517344,335648,0,60.650510204081634,517344
backbone.stages.3.op_list.2.context_module.main,VK_Q,852992,9163,468333,5287,472209,380783,0,55.35913584183673,472209
backbone.stages.3.op_list.2.context_module.main.proj.conv,conv,12845056,0,0,0,0,12845056,0,0.0,0
backbone.stages.3.op_list.2.local_module.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.3.op_list.2.local_module.main.depth_conv.conv,conv,903168,0,342122,0,342122,561046,163840,37.88021719104309,178282
backbone.stages.3.op_list.2.local_module.main.point_conv.conv,conv,25690112,0,512,0,512,25689600,0,0.001992984693877551,512
backbone.stages.3.op_list.3.context_module.main.qkv.conv,conv,19267584,0,0,0,0,19267584,0,0.0,0
backbone.stages.3.op_list.3.context_module.main.aggreg.0.0,conv,1881600,0,589824,0,589824,1291776,589824,31.346938775510203,0
backbone.stages.3.op_list.3.context_module.main.aggreg.0.1,conv,1204224,0,0,0,0,1204224,0,0.0,0
backbone.stages.3.op_list.3.context_module.main,Vpad_Kt,852992,0,558909,0,558909,294083,0,65.52335778061224,558909
