module,operation,macs,left_zero_macs,right_zero_macs,both_zero_macs,skippable_macs,nonzero_product_macs,padding_macs,skippable_percent,skippable_excluding_padding
backbone.stages.2.op_list.1.context_module.main.aggreg.0.0,conv,47040000,0,7718400,0,7718400,39321600,7718400,16.408163265306122,0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.1,conv,30105600,0,0,0,0,30105600,0,0.0,0
backbone.stages.2.op_list.1.context_module.main,Vpad_Kt,21324800,0,13462810,0,13462810,7861990,0,63.13217474489796,13462810
backbone.stages.2.op_list.1.context_module.main,VK_Q,21324800,419832,8416105,192916,8643021,12681779,0,40.53037308673469,8643021
backbone.stages.2.op_list.1.context_module.main.proj.conv,conv,160563200,0,0,0,0,160563200,0,0.0,0
backbone.stages.2.op_list.1.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.2.op_list.1.local_module.main.depth_conv.conv,conv,22579200,0,3025751,0,3025751,19553449,2099200,13.400612067743765,926551
backbone.stages.2.op_list.1.local_module.main.point_conv.conv,conv,321126400,0,1280,0,1280,321125120,0,0.0003985969387755102,1280
backbone.stages.2.op_list.2.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
backbone.stages.2.op_list.2.context_module.main.aggreg.0.0,conv,47040000,0,7718400,0,7718400,39321600,7718400,16.408163265306122,0
backbone.stages.2.op_list.2.context_module.main.aggreg.0.1,conv,30105600,0,0,0,0,30105600,0,0.0,0
backbone.stages.2.op_list.2.context_module.main,Vpad_Kt,21324800,0,11635497,0,11635497,9689303,0,54.5632174744898,11635497
backbone.stages.2.op_list.2.context_module.main,VK_Q,21324800,199920,9928969,111503,10017386,11307414,0,46.97528698979592,10017386
backbone.stages.2.op_list.2.context_module.main.proj.conv,conv,160563200,0,0,0,0,160563200,0,0.0,0
backbone.stages.2.op_list.2.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.2.op_list.2.local_module.main.depth_conv.conv,conv,22579200,0,3361910,0,3361910,19217290,2099200,14.889411493764172,1262710
backbone.stages.2.op_list.2.local_module.main.point_conv.conv,conv,321126400,0,1536,0,1536,321124864,0,0.00047831632653061223,1536
backbone.stages.2.op_list.3.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
backbone.stages.2.op_list.3.context_module.main.aggreg.0.0,conv,47040000,0,7718400,0,7718400,39321600,7718400,16.408163265306122,0
backbone.stages.2.op_list.3.context_module.main.aggreg.0.1,conv,30105600,0,0,0,0,30105600,0,0.0,0
backbone.stages.2.op_list.3.context_module.main,Vpad_Kt,21324800,0,12416868,0,12416868,8907932,0,58.22735969387755,12416868
backbone.stages.2.op_list.3.context_module.main,VK_Q,21324800,26656,10821282,17816,10830122,10494678,0,50.78651147959184,10830122
backbone.stages.2.op_list.3.context_module.main.proj.conv,conv,160563200,0,18432,0,18432,160544768,0,0.011479591836734694,18432
backbone.stages.2.op_list.3.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.2.op_list.3.local_module.main.depth_conv.conv,conv,22579200,0,3793467,0,3793467,18785733,2099200,16.80071481717687,1694267
backbone.stages.2.op_list.3.local_module.main.point_conv.conv,conv,321126400,0,384,0,384,321126016,0,0.00011957908163265306,384
backbone.stages.3.op_list.0.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.3.op_list.0.main.depth_conv.conv,conv,5644800,0,743891,0,743891,4900909,524800,13.178341128117914,219091
backbone.stages.3.op_list.0.main.point_conv.conv,conv,160563200,0,0,0,0,160563200,0,0.0,0
backbone.stages.3.op_list.1.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
backbone.stages.3.op_list.1.context_module.main.aggreg.0.0,conv,23520000,0,7372800,0,7372800,16147200,7372800,31.346938775510203,0
backbone.stages.3.op_list.1.context_module.main.aggreg.0.1,conv,15052800,0,0,0,0,15052800,0,0.0,0
backbone.stages.3.op_list.1.context_module.main,Vpad_Kt,10662400,0,6090454,0,6090454,4571946,0,57.12085459183673,6090454
backbone.stages.3.op_list.1.context_module.main,VK_Q,10662400,420665,5528706,273173,5676198,4986202,0,53.23565051020408,5676198
backbone.stages.3.op_list.1.context_module.main.proj.conv,conv,160563200,0,0,0,0,160563200,0,0.0,0
backbone.stages.3.op_list.1.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.3.op_list.1.local_module.main.depth_conv.conv,conv,11289600,0,3039832,0,3039832,8249768,2048000,26.92594954648526,991832
backbone.stages.3.op_list.1.local_module.main.point_conv.conv,conv,321126400,0,8448,0,8448,321117952,0,0.0026307397959183672,8448
backbone.stages.3.op_list.2.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
backbone.stages.3.op_list.2.context_module.main.aggreg.0.0,conv,23520000,0,7372800,0,7372800,16147200,7372800,31.346938775510203,0
backbone.stages.3.op_list.2.context_module.main.aggreg.0.1,conv,15052800,0,0,0,0,15052800,0,0.0,0
backbone.stages.3.op_list.2.context_module.main,Vpad_Kt,10662400,0,6564159,0,6564159,4098241,0,61.56361607142857,6564159
backbone.stages.3.op_list.2.context_module.main,VK_Q,10662400,239071,5805636,160242,5884465,4777935,0,55.18893494897959,5884465
backbone.stages.3.op_list.2.context_module.main.proj.conv,conv,160563200,0,8192,0,8192,160555008,0,0.00510204081632653,8192
backbone.stages.3.op_list.2.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.3.op_list.2.local_module.main.depth_conv.conv,conv,11289600,0,4060765,0,4060765,7228835,2048000,35.96907773526077,2012765
backbone.stages.3.op_list.2.local_module.main.point_conv.conv,conv,321126400,0,9216,0,9216,321117184,0,0.0028698979591836736,9216
backbone.stages.3.op_list.3.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
backbone.stages.3.op_list.3.context_module.main.aggreg.0.0,conv,23520000,0,7372800,0,7372800,16147200,7372800,31.346938775510203,0
backbone.stages.3.op_list.3.context_module.main.aggreg.0.1,conv,15052800,0,0,0,0,15052800,0,0.0,0
backbone.stages.3.op_list.3.context_module.main,Vpad_Kt,10662400,0,7066679,0,7066679,3595721,0,66.27662627551021,7066679
backbone.stages.3.op_list.3.context_module.main,VK_Q,10662400,515627,5890653,397783,6008497,4653903,0,56.35220025510204,6008497
backbone.stages.3.op_list.3.context_module.main.proj.conv,conv,160563200,0,0,0,0,160563200,0,0.0,0
backbone.stages.3.op_list.3.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.3.op_list.3.local_module.main.depth_conv.conv,conv,11289600,0,5448180,0,5448180,5841420,2048000,48.25839710884354,3400180
backbone.stages.3.op_list.3.local_module.main.point_conv.conv,conv,321126400,0,230656,0,230656,320895744,0,0.07182716836734694,230656
backbone.stages.3.op_list.4.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
backbone.stages.3.op_list.4.context_module.main.aggreg.0.0,conv,23520000,0,7372800,0,7372800,16147200,7372800,31.346938775510203,0
backbone.stages.3.op_list.4.context_module.main.aggreg.0.1,conv,15052800,0,0,0,0,15052800,0,0.0,0
backbone.stages.3.op_list.4.context_module.main,Vpad_Kt,10662400,0,7196695,0,7196695,3465705,0,67.49601403061224,7196695
backbone.stages.3.op_list.4.context_module.main,VK_Q,10662400,690557,5377440,426258,5641739,5020661,0,52.912468112244895,5641739
backbone.stages.3.op_list.4.context_module.main.proj.conv,conv,160563200,0,4096,0,4096,160559104,0,0.002551020408163265,4096
backbone.stages.3.op_list.4.local_module.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.3.op_list.4.local_module.main.depth_conv.conv,conv,11289600,0,6770861,0,6770861,4518739,2048000,59.97432149943311,4722861
backbone.stages.3.op_list.4.local_module.main.point_conv.conv,conv,321126400,0,311552,0,311552,320814848,0,0.09701849489795919,311552
head.op_list.0.conv,conv,481689600,0,0,0,0,481689600,0,0.0,0
head.op_list.2.linear,linear,61440000,4262400,0,0,4262400,57177600,0,6.9375,4262400
head.op_list.3.linear,linear,40000000,5425000,0,0,5425000,34575000,0,13.5625,5425000
