module,operation,macs,left_zero_macs,right_zero_macs,both_zero_macs,skippable_macs,nonzero_product_macs,padding_macs,skippable_percent,skippable_excluding_padding
backbone.input_stem.op_list.0.conv,conv,135475200,0,805200,0,805200,134670000,805200,0.5943523242630385,0
backbone.input_stem.op_list.1.main.depth_conv.conv,conv,45158400,0,959523,0,959523,44198877,536000,2.124794058248299,423523
backbone.input_stem.op_list.1.main.point_conv.conv,conv,80281600,0,2480864,0,2480864,77800736,0,3.090202487244898,2480864
backbone.stages.0.op_list.0.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.0.op_list.0.main.depth_conv.conv,conv,45158400,0,3156521,0,3156521,42001879,536000,6.98988670989229,2620521
backbone.stages.0.op_list.0.main.point_conv.conv,conv,160563200,0,9225472,0,9225472,151337728,0,5.745695153061225,9225472
backbone.stages.0.op_list.1.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.0.op_list.1.main.depth_conv.conv,conv,90316800,0,7655546,0,7655546,82661254,2137600,8.476325556264172,5517946
backbone.stages.0.op_list.1.main.point_conv.conv,conv,321126400,0,22570720,0,22570720,298555680,0,7.028609295280612,22570720
backbone.stages.1.op_list.0.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.1.op_list.0.main.depth_conv.conv,conv,22579200,0,1623678,0,1623678,20955522,534400,7.191034226190476,1089278
backbone.stages.1.op_list.0.main.point_conv.conv,conv,160563200,0,1134976,0,1134976,159428224,0,0.7068718112244898,1134976
backbone.stages.1.op_list.1.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.1.op_list.1.main.depth_conv.conv,conv,45158400,0,3190063,0,3190063,41968337,2124800,7.064163035005669,1065263
backbone.stages.1.op_list.1.main.point_conv.conv,conv,321126400,0,4567680,0,4567680,316558720,0,1.4223931760204083,4567680
backbone.stages.1.op_list.2.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.1.op_list.2.main.depth_conv.conv,conv,45158400,0,3744326,0,3744326,41414074,2124800,8.291538229875284,1619526
backbone.stages.1.op_list.2.main.point_conv.conv,conv,321126400,0,2397440,0,2397440,318728960,0,0.7465720663265306,2397440
backbone.stages.2.op_list.0.main.inverted_conv.conv,conv,321126400,0,0,0,0,321126400,0,0.0,0
backbone.stages.2.op_list.0.main.depth_conv.conv,conv,11289600,0,707107,0,707107,10582493,531200,6.263348568594104,175907
backbone.stages.2.op_list.0.main.point_conv.conv,conv,160563200,0,0,0,0,160563200,0,0.0,0
backbone.stages.2.op_list.1.context_module.main.qkv.conv,conv,240844800,0,0,0,0,240844800,0,0.0,0
