module,elements,zeros,blocks,zero_blocks,block_tail_elements,zero_percent,output_filters,zero_output_filters
backbone.stages.3.op_list.4.context_module.main.qkv.conv,196608,0,12288,0,0,0.0,768,0
backbone.stages.3.op_list.4.context_module.main.aggreg.0.0,19200,0,1200,0,0,0.0,768,0
backbone.stages.3.op_list.4.context_module.main.aggreg.0.1,12288,0,768,0,0,0.0,768,0
backbone.stages.3.op_list.4.context_module.main.proj.conv,131072,0,8192,0,0,0.0,256,0
backbone.stages.3.op_list.4.local_module.main.inverted_conv.conv,262144,0,16384,0,0,0.0,1024,0
backbone.stages.3.op_list.4.local_module.main.depth_conv.conv,9216,0,576,0,0,0.0,1024,0
backbone.stages.3.op_list.4.local_module.main.point_conv.conv,262144,0,16384,0,0,0.0,256,0
head.op_list.0.conv,393216,0,24576,0,0,0.0,1536,0
head.op_list.2.linear,2457600,0,153600,0,0,0.0,1600,0
head.op_list.3.linear,1600000,0,100000,0,0,0.0,1000,0
